question_id,question,model_name,correct_answer,model_answer,judge_result,level
MMLU-abstract_1,"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",gemini-2.0-flash,24,20,0,N/A
MMLU-abstract_2,Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,gemini-2.0-flash,"0,4","{0, 1, 2}",0,N/A
MMLU-abstract_3,"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",gemini-2.0-flash,"False, False",Both statements are false.,1,N/A
MMLU-abstract_4,"Find the product of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].",gemini-2.0-flash,6x^2 + 4x + 6,$8x^3 - 26x^2 + 28x - 10 = 0x^3 + 6x^2 + 4x + 6 = 6x^2 + 4x + 6$,1,N/A
MMLU-abstract_5,"Statement 1 | If a group has an element of order 15 it must have at least 8 elements of order 15. Statement 2 | If a group has more than 8 elements of order 15, it must have at least 16 elements of order 15.",gemini-2.0-flash,"True, True",Both statements are false.,0,N/A
MMLU-abstract_6,Statement 1 | Every homomorphic image of a group G is isomorphic to a factor group of G. Statement 2 | The homomorphic images of a group G are the same (up to isomorphism) as the factor groups of G.,gemini-2.0-flash,"True, True",Both statements are correct.,1,N/A
MMLU-abstract_7,Statement 1 | A ring homomorphism is one to one if and only if the kernel is {0}. Statement 2 | Q is an ideal in R.,gemini-2.0-flash,"False, True","Statement 1 is true, statement 2 is false.
Final Answer: True, False",0,N/A
MMLU-abstract_8,Find the degree for the given field extension Q(sqrt(2) + sqrt(3)) over Q.,gemini-2.0-flash,4,4,1,N/A
MMLU-abstract_9,Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^3 + 2x + 2 in Z_7,gemini-2.0-flash,"2,3",5,0,N/A
MMLU-abstract_10,"Statement 1 | If H is a subgroup of G and a belongs to G then |aH| = |Ha|. Statement 2 | If H is a subgroup of G and a and b belong to G, then aH and Hb are identical or disjoint.",gemini-2.0-flash,"True, False",Both statements are true.,0,N/A
MMLU-abstract_11,"If A = {1, 2, 3} then relation S = {(1, 1), (2, 2)} is",gemini-2.0-flash,both symmetric and anti-symmetric,"Reflexive on {1, 2}",0,N/A
MMLU-abstract_12,"Find the order of the factor group (Z_11 x Z_15)/(<1, 1>)",gemini-2.0-flash,1,165,0,N/A
MMLU-abstract_13,The polynomial x^3 + 2x^2 + 2x + 1 can be factored into linear factors in Z_7[x]. Find this factorization.,gemini-2.0-flash,(x + 1)(x − 4)(x − 2),(x+1)(x+2)(x+4),0,N/A
MMLU-abstract_14,Find the maximum possible order for an element of S_n for n = 10.,gemini-2.0-flash,30,30,1,N/A
MMLU-abstract_15,Statement 1 | R is a splitting field of some polynomial over Q. Statement 2 | There is a field with 60 elements.,gemini-2.0-flash,"False, False","False, False",1,N/A
MMLU-abstract_16,"The inverse of -i in the multiplicative group, {1, -1, i , -i} is",gemini-2.0-flash,i,i,1,N/A
MMLU-abstract_17,"Compute the product in the given ring. (2,3)(3,5) in Z_5 x Z_9",gemini-2.0-flash,"(1,6)","(6 mod 5, 15 mod 9) = (1, 6)",1,N/A
MMLU-abstract_18,The set of all real numbers under the usual multiplication operation is not a group since,gemini-2.0-flash,zero has no inverse,0 does not have an inverse.,1,N/A
